Name,Type,Link,Notes
the neighbourgood,Financial through the purchase of gift cards,theneighbourgood.com,"We're a not-for-profit site that allows people to securely purchase gift cards to their fave neighbourhood businesses to redeem for later. We just launched, so please share with biz owners!"
Friendly Neighbour Hotline,Volunteering,https://form.jotform.com/200745546325050?fbclid=IwAR0K_LLoiI_PQluPQ6FJRsLN_MgUgnqDZf4D-4TE0hudE29NY5yNOSIiJvA,UHN OpenLab will contact and connect you with a senior living in the Toronto area in need of help with the acquisition of essential items
Amara Possian's note to neighbours,"Neighbourhood support, Get Involved",https://twitter.com/amarapossian/status/1238481089422856192?s=20,A note to put in your neighbours' mailboxes offering support if you are healthy/have capacity
Postcard bid to help self-isolating neighbours,"Neighbourhood support, Get Involved",https://www.bbc.com/news/amp/uk-england-cornwall-51880695,A note to put in your neighbours' mailboxes offering support if you are healthy/have capacity and they are self-isolating
Neighbourhood pods how-to,"Neighbourhood support, Get Involved",https://docs.google.com/document/d/1j8ADhLEuKNDZ1a_opmzudywJPKMXcNKu01V1xY2MiIA/preview,How to create Neighbourhood Pod to ensure consistent contact/access to support with folks in your neighbourhood
Pod Mapping for Mutual Aid,"Neighbourhood support, Get Involved",https://docs.google.com/document/d/1-QfMn1DE6ymhKZMpXN1LQvD6Sy_HSnnCK6gTO7ZLFrE/preview,^^
"""How can I help COVID19 Toronto""","Online Community, Get Involved",https://www.facebook.com/groups/663734187714992/,"A central hub to connect people in Toronto who want to exchange services, professional opportunities, and acts of kindness during an uncertain time. "
"Emergency Survival Fund
for LGBTQ2S artists, performers, tip-based workers
and Glad Day","Financial, Donate Money",https://www.gladdaylit.ca/,"Given that both Glad Day and the people we serve are faced with an immediate crisis, we want to create a fund that supports Glad Day and the people we serve."
Black Emergency Support Fund from BLMTO,"Financial, Donate Money",https://www.gofundme.com/f/black-emergency-support-fund?utm_medium=copy_link&utm_source=customer&utm_campaign=p_lico+share-sheet&fbclid=IwAR1aX4khkSGHapJvemOp8gasjOUdL9mNlW5AcHkpVNEmLXvjyrpbEUS5Vzs,Black Lives Matter- Toronto is launching a fundraising campaign to create a GTA Black Community Emergency Support Fund for Black folks in the GTA who need extra support during these times.
COVID-19 Mutual Aid Fund for LGBTQI+ BIPOC Folks,"Financial, Donate Money",https://www.gofundme.com/f/covid19-relief-fund-for-lgbtqi-bipoc-folks?sharetype=teams&member=3890858&utm_medium=copy_link&utm_source=customer&utm_campaign=p_na+share-sheet&rcid=a69b4f705d664b62ad78c1df61f615e0&fbclid=IwAR0DcZAIbDCLusOnWvCcq6MD2lwEyocFh3Vnju-B0Eb4UDaDU74Os_IDrBA,"Realizing a need for mutual aid for our communities at this time, and inspired by Ijeoma Oluo's efforts to support her community of fellow artists in Seattle , Amita Swadhin launched this fund on March 14, 2020 and has since invited their trusted comrades Treva Ellison, Natalie Havlin, Carrie Hawks, Ren-yo Hwang, and Alisa Zipursky to help manage the financial records and design and manage the process of fund distribution."
Caremongering-TO,"Online Community, Get Involved",https://www.facebook.com/groups/TO.Community.Response.COVID19/,"A group for sharing and organizing community resources in response to COVID-19. The goal of this group is to organize the local community on the grassroots level to ensure vulnerable community members have access to food, housing, healthcare, and other necessities. It is also for the redistribution of resources in the case that stockpiling prevents people from accessing basics. You can also post requests for aid/support here. Please share any opportunities/events that may be helpful to support community members!"
GTA Community volunteers ,"Volunteering, Database of Volunteers",https://docs.google.com/forms/d/e/1FAIpQLSe28u-0_3jGTHX6Z1O9cy0mDUsFupvcZuv8Op5frDOHtF6aPw/viewform,Indicate availability to help and volunteers mapped by location 
